CONFIG: Time_ms MaxBundling PiggyBacking PreFetching DrpAllocation DrpMinResc DrpMaxResc DrpMinTime DrpMaxTime DrpIdle Scheduler DataCaching
CONFIG: 1194385955793 1 true false disabled 0 0 0 0 0 Round-Robin false
STATE: Time_ms ResourceAllocated ResourceRegistered ResourceFree ResourcePending ResourceActive TaskNumQueues TaskSubmit TaskWaitQueue TaskDispatch TaskActive TaskDeliveryQueue TaskDelivered CacheSize CacheHits CacheMisses SystemNumThreads SystemCPUuser SystemCPUsystem SystemCPUidle SystemHeapSize SystemHeapFree SystemHeapMax SubmitTP DispatchTP DeliverTP 
STATE: 1194386042829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 3 1 96 1524 1456 1524 0.0 0.0 0.0
STATE: 1194386043826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1456 1524 0.0 0.0 0.0
STATE: 1194386044832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 0 99 1524 1456 1524 0.0 0.0 0.0
STATE: 1194386045830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1455 1524 0.0 0.0 0.0
STATE: 1194386046831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1455 1524 0.0 0.0 0.0
STATE: 1194386047850 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1455 1524 0.0 0.0 0.0
STATE: 1194386048827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 98 1524 1454 1524 0.0 0.0 0.0
STATE: 1194386049835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1454 1524 0.0 0.0 0.0
STATE: 1194386050835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1454 1524 0.0 0.0 0.0
STATE: 1194386051963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1454 1524 0.0 0.0 0.0
STATE: 1194386052826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 4 1 95 1524 1453 1524 0.0 0.0 0.0
STATE: 1194386053830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1453 1524 0.0 0.0 0.0
STATE: 1194386054838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1453 1524 0.0 0.0 0.0
STATE: 1194386055827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1452 1524 0.0 0.0 0.0
STATE: 1194386056829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1452 1524 0.0 0.0 0.0
STATE: 1194386057828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1452 1524 0.0 0.0 0.0
STATE: 1194386058833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1451 1524 0.0 0.0 0.0
STATE: 1194386059834 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1451 1524 0.0 0.0 0.0
STATE: 1194386060830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1451 1524 0.0 0.0 0.0
STATE: 1194386061830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1450 1524 0.0 0.0 0.0
STATE: 1194386062829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 98 1524 1450 1524 0.0 0.0 0.0
STATE: 1194386063824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1449 1524 0.0 0.0 0.0
STATE: 1194386064828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1449 1524 0.0 0.0 0.0
STATE: 1194386065824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1449 1524 0.0 0.0 0.0
STATE: 1194386066824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 98 1524 1448 1524 0.0 0.0 0.0
STATE: 1194386067825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 100 1524 1448 1524 0.0 0.0 0.0
STATE: 1194386068825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1448 1524 0.0 0.0 0.0
STATE: 1194386069824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1447 1524 0.0 0.0 0.0
STATE: 1194386070824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1447 1524 0.0 0.0 0.0
STATE: 1194386071832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1447 1524 0.0 0.0 0.0
STATE: 1194386072823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1446 1524 0.0 0.0 0.0
STATE: 1194386073963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1446 1524 0.0 0.0 0.0
STATE: 1194386074825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 4 0 96 1524 1446 1524 0.0 0.0 0.0
STATE: 1194386075824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 98 1524 1445 1524 0.0 0.0 0.0
STATE: 1194386076830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1445 1524 0.0 0.0 0.0
STATE: 1194386077831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1445 1524 0.0 0.0 0.0
STATE: 1194386078823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1444 1524 0.0 0.0 0.0
STATE: 1194386079832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1444 1524 0.0 0.0 0.0
STATE: 1194386080827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1444 1524 0.0 0.0 0.0
STATE: 1194386081829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1443 1524 0.0 0.0 0.0
STATE: 1194386082829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1443 1524 0.0 0.0 0.0
STATE: 1194386083826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1443 1524 0.0 0.0 0.0
STATE: 1194386084830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1443 1524 0.0 0.0 0.0
STATE: 1194386085826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1442 1524 0.0 0.0 0.0
STATE: 1194386086825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1442 1524 0.0 0.0 0.0
STATE: 1194386087831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1442 1524 0.0 0.0 0.0
STATE: 1194386088824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1441 1524 0.0 0.0 0.0
STATE: 1194386089829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1441 1524 0.0 0.0 0.0
STATE: 1194386090830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1441 1524 0.0 0.0 0.0
STATE: 1194386091832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1440 1524 0.0 0.0 0.0
STATE: 1194386092830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1440 1524 0.0 0.0 0.0
STATE: 1194386093826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1440 1524 0.0 0.0 0.0
STATE: 1194386094827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 4 1 95 1524 1439 1524 0.0 0.0 0.0
STATE: 1194386095828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1439 1524 0.0 0.0 0.0
STATE: 1194386096823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1439 1524 0.0 0.0 0.0
STATE: 1194386097833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1438 1524 0.0 0.0 0.0
STATE: 1194386098832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1438 1524 0.0 0.0 0.0
STATE: 1194386099827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1438 1524 0.0 0.0 0.0
STATE: 1194386100825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1437 1524 0.0 0.0 0.0
STATE: 1194386101831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1437 1524 0.0 0.0 0.0
STATE: 1194386102827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1437 1524 0.0 0.0 0.0
STATE: 1194386103833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1436 1524 0.0 0.0 0.0
STATE: 1194386104827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1436 1524 0.0 0.0 0.0
STATE: 1194386105833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1436 1524 0.0 0.0 0.0
STATE: 1194386106829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1435 1524 0.0 0.0 0.0
STATE: 1194386107827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1435 1524 0.0 0.0 0.0
STATE: 1194386108833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1435 1524 0.0 0.0 0.0
STATE: 1194386109834 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1434 1524 0.0 0.0 0.0
STATE: 1194386110829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1434 1524 0.0 0.0 0.0
STATE: 1194386111833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1434 1524 0.0 0.0 0.0
STATE: 1194386112824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1433 1524 0.0 0.0 0.0
STATE: 1194386113827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 98 1524 1433 1524 0.0 0.0 0.0
STATE: 1194386114830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1433 1524 0.0 0.0 0.0
STATE: 1194386115828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1432 1524 0.0 0.0 0.0
STATE: 1194386116826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1432 1524 0.0 0.0 0.0
STATE: 1194386117959 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1432 1524 0.0 0.0 0.0
STATE: 1194386118831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 4 0 96 1524 1431 1524 0.0 0.0 0.0
STATE: 1194386119830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1431 1524 0.0 0.0 0.0
STATE: 1194386120823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1431 1524 0.0 0.0 0.0
STATE: 1194386121832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1431 1524 0.0 0.0 0.0
STATE: 1194386122843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1430 1524 0.0 0.0 0.0
STATE: 1194386123827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1430 1524 0.0 0.0 0.0
STATE: 1194386124829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1429 1524 0.0 0.0 0.0
STATE: 1194386125825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1429 1524 0.0 0.0 0.0
STATE: 1194386126827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 1 98 1524 1429 1524 0.0 0.0 0.0
STATE: 1194386127828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1428 1524 0.0 0.0 0.0
STATE: 1194386128828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1428 1524 0.0 0.0 0.0
STATE: 1194386129833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 16 2 81 1524 1428 1524 0.0 0.0 0.0
STATE: 1194386130834 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 25 2 73 1524 1427 1524 0.0 0.0 0.0
STATE: 1194386131834 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 27 1 72 1524 1427 1524 0.0 0.0 0.0
STATE: 1194386132832 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 30 27 3 70 1524 1509 1524 0.0 0.0 0.0
STATE: 1194386133824 0 0 0 0 0 1 0 100 0 0 0 0 0 0 0 0 30 5 0 94 1524 1499 1524 0.0 0.0 0.0
STATE: 1194386134824 0 0 0 0 0 1 0 100 0 0 0 0 0 0 0 0 30 1 1 98 1524 1499 1524 0.0 0.0 0.0
STATE: 1194386135962 0 0 0 0 0 1 0 100 0 0 0 0 0 0 0 0 30 1 0 99 1524 1499 1524 0.0 0.0 0.0
