	Iozone: Performance Test of File I/O
	        Version $Revision: 3.398 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri Mar  2 14:50:19 2012

	Auto Mode
	Command line used: ./iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
           16384     128  835111 1049780  1588199  1595166 2018263 2824381 1567692  1542462  1587905  1065834   776791 1580092  1568121
           16384     256  934618  838484  1503517  1522538 2430155 2789641 1491638  1627466  1492999   798369   906436 1471798  1792332
           16384     512  634817  900261  1353363  1380163 2048038 2463434 1576901  3330108  2273311  1014102   869274 1358634  1377728
           16384    1024 1045770  964161  1890192  2047977 3664490 2432650 1364082  1751358  1394503   808647  1179049 1355953  1376459
           16384    2048  826225  961557  1267610  1363162 3241055 2483554 1343704  1008181  1431930  1044165  1032648 1210493  1340742
           16384    4096  651611 1490117  1230037  2982641 2791567 1774513 1207006  2041103  1434800  1886042  1046104 1191044  1206032
           16384    8192  657547  999704  1512019  1880828 2640030 1209683 1597651  1040198  2047489  1100853  1273247 1197061  1450916
           16384   16384 1123109 1697833  2383543  2565614 1641030 1762679 1270681  1892795  1324181  1085687  1070000 1349244  1749664
           32768      64 1113309 1365000  1746125  3318674 4350462 2706513 1336437  5900996  2459149  1819448  1764100 1727166  3574596
           32768     128 1194219 1106693  1567456  1571003 3779449 1940794 1962045  1641673  1788735  1246082  1254087 1880309  2401107
           32768     256  952203 1265764  2387468  1981964 3657547 2524696 1740663  3894910  1896394  1987381  1299759 1452093  2547864
           32768     512  894541 1430541  1499413  1789620 3404414 2476073 1783883  2840715  1803807  1203021  1205458 1869058  1665547
           32768    1024 1028597 1262728  1858016  1950822 3335831 2402703 1505869  3177646  3155612  1503530  1202895 1739737  2274582
           32768    2048  904895 1357866  1495432  2649384 1477031 1852132 1873184  2907542  1426309  1046103  1172759 1875024  1917053
           32768    4096 1044894 1156574  1945492  1650446 2478842 1840992 1667830  1670913  1323057  1079062  1099267 1425185  1399328
           32768    8192  979909 1243332  2067378  1683417 1595570 1755403 1340648  2003897  1524730  1019411  1404074 1541576  2245154
           32768   16384  905646 1220455  2478663  2613314 2525253 1869566 1522754  2071554  2078006  1737077  1770577 2432513  1619676
           65536      64 1277979 1522533  2769556  2393055 2404990 2591285 2488172  6333182  2709656  2030735  1520058 2449940  2973652
           65536     128 1399533 1975296  2491487  2961159 4283134 2769332 3687814  6668911  3500835  1597544  1651981 2858969  3440583
           65536     256 1303889 1526939  3129701  2651014 4177678 2697504 2621109  5687897  2858582  2024468  1456717 3188772  2834353
           65536     512 1154736 1616778  2605803  2083547 3651416 2569941 2466715  3185852  3195481  1924136  1636520 2798913  2482330
           65536    1024 1098102 2040216  2075242  2162046 3664950 2573165 2182578  3175803  2467556  1649780  1572925 2516947  2145978
           65536    2048 1077771 1630444  3059270  2494608 2085808 2149922 2487519  3152132  2178427  1790749  1745103 2156348  2914410
